word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
BLUE,blue,1,right,0,9,9,6,,,,,,,,,91.06707689999894,91.06707689999894,up,0,1.638939600001322,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
BLUE,red,0,left,0,10,10,5,,,,,,,,,93.23384539999824,93.23384539999824,up,0,0.7922890999907395,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
YELLOW,red,0,left,0,11,11,10,,,,,,,,,94.55007729999488,94.55007729999488,down,0,1.526609099993948,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
GREEN,red,0,left,0,12,12,15,,,,,,,,,96.59997119999025,96.59997119999025,up,0,1.577511499999673,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
RED,green,0,down,0,13,13,1,,,,,,,,,98.69920750000165,98.69920750000165,right,0,0.8443599999882281,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
YELLOW,blue,0,right,0,14,14,11,,,,,,,,,100.0657574999932,100.0657574999932,left,0,1.6234090000070864,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
GREEN,blue,0,right,0,15,15,13,,,,,,,,,102.215389399993,102.215389399993,up,0,2.917248500001733,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
YELLOW,blue,0,right,1,0,16,11,,,,,,,,,105.66523020000022,105.66523020000022,down,0,0.9834161000035238,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
RED,red,1,left,1,1,17,0,,,,,,,,,107.16460109999753,107.16460109999753,right,0,0.8501702999928966,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
BLUE,yellow,0,up,1,2,18,7,,,,,,,,,108.53160699999717,108.53160699999717,down,0,1.3212610999908065,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
